Discord,Vote,Proposal
theonetruepi,For,001/2023
caldemar,For,001/2023
luckysara,For,001/2023
luckysara,For,002/2023
caldemar,For,002/2023
theonetruepi,For,002/2023
vleerian,For,003/2023
caldemar,For,003/2023
luckysara,For,003/2023
theonetruepi,For,003/2023
vleerian,For,004/2023
caldemar,For,004/2023
luckysara,For,004/2023
vleerian,For,005/2023
caldemar,For,005/2023
luckysara,For,005/2023
theonetruepi,For,005/2023
vleerian,For,008/2023
caldemar,For,008/2023
luckysara,For,008/2023
theonetruepi,For,008/2023
vleerian,For,009/2023
caldemar,For,009/2023
luckysara,For,009/2023
thatoneisaac,For,009/2023
